[2025-03-26T13:48:46.111+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:48:46.201+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:50:00+00:00 [queued]>
[2025-03-26T13:48:46.220+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:50:00+00:00 [queued]>
[2025-03-26T13:48:46.220+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:48:46.361+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 05:50:00+00:00
[2025-03-26T13:48:46.729+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T05:50:00+00:00', '--job-id', '162', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpglkzari4']
[2025-03-26T13:48:46.734+0000] {standard_task_runner.py:105} INFO - Job 162: Subtask php_app2
[2025-03-26T13:48:46.781+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1060) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:48:46.826+0000] {standard_task_runner.py:72} INFO - Started process 1069 to run task
[2025-03-26T13:48:47.564+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:50:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:48:49.349+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app2' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T05:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T05:50:00+00:00'
[2025-03-26T13:48:49.350+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:48:49.587+0000] {docker.py:345} INFO - Starting docker container from image php-app2
[2025-03-26T13:48:49.625+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:49:00.759+0000] {docker.py:69} INFO - array(164) {
[2025-03-26T13:49:00.760+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:49:00.765+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:49:00.766+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:00.767+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:49:00.767+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:00.768+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:00.770+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:00.771+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:49:00.772+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:00.772+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:49:00.773+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:49:00.774+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:00.775+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:00.775+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:00.777+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:00.778+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:00.778+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:49:00.779+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:00.779+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:49:00.780+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:49:00.780+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:00.781+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:00.783+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:00.783+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:00.784+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:00.785+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:49:00.786+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:00.787+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:49:00.789+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:49:00.790+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:00.790+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:00.791+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:00.800+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:00.800+0000] {docker.py:69} INFO -     ["timestamp"]=>
