[2025-03-26T13:46:45.620+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:45.800+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T02:10:00+00:00 [queued]>
[2025-03-26T13:46:45.925+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T02:10:00+00:00 [queued]>
[2025-03-26T13:46:45.929+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:46.089+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app1> on 2025-03-25 02:10:00+00:00
[2025-03-26T13:46:46.134+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=728) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:46.138+0000] {standard_task_runner.py:72} INFO - Started process 747 to run task
[2025-03-26T13:46:46.142+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app1', 'scheduled__2025-03-25T02:10:00+00:00', '--job-id', '75', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpsc13icii']
[2025-03-26T13:46:46.145+0000] {standard_task_runner.py:105} INFO - Job 75: Subtask php_app1
[2025-03-26T13:46:47.549+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T02:10:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:46:50.329+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app1' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T02:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T02:10:00+00:00'
[2025-03-26T13:46:50.346+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:46:51.091+0000] {docker.py:345} INFO - Starting docker container from image php-app1
[2025-03-26T13:46:51.109+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:46:56.977+0000] {docker.py:69} INFO - array(78) {
[2025-03-26T13:46:56.979+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:46:56.983+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:46:57.009+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:57.032+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:46:57.036+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:57.042+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:57.050+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:57.052+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:46:57.061+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:57.156+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:46:57.178+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:46:57.179+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:57.179+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:57.180+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:57.180+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:57.181+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:57.182+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:46:57.182+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:57.183+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:46:57.183+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:46:57.184+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:57.184+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:57.185+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:57.185+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:57.186+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:57.186+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:46:57.187+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:57.187+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:46:57.188+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:46:57.188+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:57.189+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:57.189+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:57.190+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:57.190+0000] {docker.py:69} INFO -     ["timestamp"]=>
